1985,yellow,Mc Donalds Restaurant,1327 2 Av,650-0049
1985,yellow,McDonald’s Restrnt,102 1 Av,475-9538
1985,yellow,McDonald’s Restrnt,427 10 Av,564-7115
1985,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100
1985,yellow,Mc Donald’s Restrnt,2142 3 Av,831-3468
1985,yellow,McDonald’s Restrnt,543 6 Av,924-8249
1985,yellow,Mcdonald’s Restrnt,556 7 Av,869-1918
1985,yellow,McDonald’s Restrnt,335 8 Av,243-9594
1985,yellow,McDonald’s Restrnts,729 2 Av,686-7124
1985,yellow,McDonald’s Restrnts,341 5 Av,686-5342
1985,yellow,Mc Donald’s 21 St Century Training Center,336 E 23,475-5111
1985,yellow,McDonalds 40 Street,556 7 Av,730-9237
1990,white,Mcdonald Restrnt,543 6 Av,243-9298
1990,white,MCDONALD RESTURANT,262 Canal,431-4165
1990,white,Mc Donald’s,14 E 47,599-8818
1990,white,Mcdonald’s,14 E 47,697-8148
1990,white,Mc Donald’s,215 W 125,864-8614
1990,white,Mc Donald’s,600 W 125,864-9522
1990,white,Mc Donalds At Waverly Place,724 Bway,529-9660
1990,white,Mcdonalds Family Restrnt,6 Water,509-0920
1990,white,McDonalds 40 Street,556 7 Av,730-9237
1990,white,McDonald’s Of Greenwich Village,136 W 3,674-2566
1990,white,Mcdonald’s Restrnt,160 Bway,285-9026
1990,white,MCDONALD’S RESTRNT,2049 Bway,724-0435
1990,white,McDonalds Restrnt,2549 Bway,864-8138
1990,white,Mc Donald’s Restrnt,2549 Bway,864-9314
1990,white,Mdonald’s Restaurant,638 Colmbs Av,721-7509
1990,white,Mcdonald’s Restrnt,208 Dyckman,304-1610
1990,white,McDonalds Restrnt,444 Lenox Av,694-9843
1990,white,Mc Donalds Restrnt,113 Nassau,285-9192
1990,white,Mcdonald’s Renstrnt,102 1 Av,475-9538
1990,white,Mc Donalds Restaurant,1327 2 Av,650-0049
1990,white,Mc Donald’s Restrnt,1499 3 Av,628-8100
1990,white,Mc Donald’s Restrnt,1499 3 Av,734-3158
1990,white,Mc Donald’s Restrnt,2142 3 Av,831-3468
1990,white,McDonald’s Restrnt,543 6 Av,989-4043
1990,white,Mc Donalds Restaurant,809 6 Av,243-??65
1990,white,McDonald’s Restrnt,556 7 Av,869-1918
1990,white,Mcdonalds Restrnt,335 8 Av,243-9594
1990,white,McDonald’s Restrnt,946 8 Av,586-6676
1990,white,McDonald’s Restrnt,427 10 Av,564-7115
1990,white,MCDONALD’S RESTRNT,336 E 23,674-9027
1990,white,McDonald’s Restrnt,22 E 42,599-2127
1990,white,McDonald’s Restrnts,729 2 Av,686-7124
1990,white,McDonald’s Restrt ,341 5 Av,686-5342
1990,white,Mc Donald’s 21st Century Training Center,336 E 23,475-5111
1990,white,McDonald’s ,3549 Bway,283-9584
1990,white,MCDONALD’S,4036 Bway,923-9582
1990,white,McDonald’s,4259 Bway,923-9506
1990,white,McDonalds,444 Lenox Av,862-8480
1990,white,MCDONALD’S,39 Union Sq W,645-9079
1990,white,Mc Donalds ,996 3 Av,753-5360
1990,white,Mc Donalds ,1872 3 Av,996-2864
1990,white,MCDONALDS,972 6 Av,279-2022
1990,white,Mc Donald’s,972 6 Av,502-4563
1990,white,Mc Donald’s,427 10 Av,502-5095
1990,white,Mc Donalds,22 E 23,353-9??0
