year, phonebook, name, address, phone_number, lat, lon
1990,white,McDonald’s Restrnt,946 8 Av,586-6676,40.76582,-73.98314
1990,white,McDonald’s Restrnt,427 10 Av,564-7115,40.75454,-74.0001
1990,white,MCDONALD’S RESTRNT,336 E 23,674-9027,40.73696,-73.97945
1990,white,McDonald’s Restrnt,22 E 42,599-2127,40.75265,-73.98003
1990,white,McDonald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1990,white,McDonald’s Restrt ,341 5 Av,686-5342,40.74796,-73.98452
1990,white,Mc Donald’s 21st Century Training Center,336 E 23,475-5111,40.73696,-73.97945
1990,white,McDonald’s ,3549 Bway,283-9584,40.82687,-73.95074
1990,white,MCDONALD’S,4036 Bway,923-9582,40.84182,-73.9388
1990,white,McDonald’s,4259 Bway,923-9506,40.85009,-73.93625
1990,white,McDonalds,444 Lenox Av,862-8480,40.81239,-73.94161
1990,white,MCDONALD’S,39 Union Sq W,645-9079,40.73708,-73.99081
1990,white,Mc Donalds ,996 3 Av,753-5360,40.76221,-73.96717
1990,white,Mc Donalds ,1872 3 Av,996-2864,40.79002,-73.94621
1990,white,MCDONALDS,972 6 Av,279-2022,40.75079,-73.98673
1990,white,Mc Donald’s,972 6 Av,502-4563,40.75079,-73.98673
1990,white,Mc Donald’s,427 10 Av,502-5095,40.75454,-74.0001
1990,white,Mc Donalds,22 E 23,353-9??0,40.74051,-73.9881
1995,yellow,Mcdonald Restrnt,543 6 Av,243-9298,40.73791,-73.99685
1995,yellow,Mc Donald ‘s Restrnt,946 8 Av,586-6676,40.76582,-73.98314
1995,yellow,Mcdonalds,3794 Bway,923-2222,40.83419,-73.94422
1995,yellow,Mc Donalds,262 Canal,941-5823,40.71852,-74.00115
1995,yellow,Mc Donalds,22 E 23,353-9140,40.74051,-73.9881
1995,yellow,Mc Donald’s,3549 Bway,281-5330,40.82687,-73.95074
1995,yellow,Mc Donald’s,102 1 Av,477-9171,40.72643,-73.98581
1995,yellow,Mc Donald’s,404 E 14,598-0045,40.73081,-73.98243
1995,yellow,Mcdonald’s,600 W 125,662-2965,40.81581,-73.95884
1995,yellow,McDonald’s,4036 Bway,923-9582,40.84182,-73.9388
