year, phonebook, name, address, phone_number, lat, lon
1987,yellow,Mcdonald’s Restrnt,556 7 Av,869-1918,40.75473,-73.988316
1987,yellow,Mcdonald’s Restrnt ,335 8 Av,243-9594,40.74771,-73.99742
1987,yellow,McDonald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1987,yellow,McDonald’s Restrnts,341 5 Av,686-5342,40.747959,-73.984506
1987,yellow,Mc Donald’s 21 St Century Training Center,336 E 23,475-5111,40.736964,-73.979443
1987,yellow,McDonalds ,40 Street 556 7 Av,730-9237,40.649726,-74.003204
1990,white,Mcdonald Restrnt,543 6 Av,243-9298,40.737916,-73.996851
1990,white,MCDONALD RESTURANT,262 Canal,431-4165,40.718528,-74.001145
1990,white,Mc Donald’s,14 E 47,599-8818,40.756087,-73.977797
1990,white,Mcdonald’s,14 E 47,697-8148,40.756087,-73.977797
1990,white,Mc Donald’s,215 W 125,864-8614,40.809708,-73.948933
1990,white,Mc Donald’s,600 W 125,864-9522,40.81581,-73.95884
1990,white,Mc Donalds At Waverly Place,724 Bway,529-9660,40.729101,-73.99321
1990,white,Mcdonalds Family Restrnt,6 Water,509-0920,40.702998,-74.012241
1990,white,McDonalds 40 Street,556 7 Av,730-9237,40.75473,-73.988316
1990,white,McDonald’s Of Greenwich Village,136 W 3,674-2566,40.730737,-74.001112
1990,white,Mcdonald’s Restrnt,160 Bway,285-9026,40.709384,-74.010023
1990,white,MCDONALD’S RESTRNT,2049 Bway,724-0435,40.777772,-73.982732
1990,white,McDonalds Restrnt,2549 Bway,864-8138,40.79444,-73.97249
1990,white,Mc Donald’s Restrnt,2549 Bway,864-9314,40.79444,-73.97249
1990,white,Mdonald’s Restaurant,638 Colmbs Av,721-7509,
1990,white,Mcdonald’s Restrnt,208 Dyckman,304-1610,40.865133,-73.927407
1990,white,McDonalds Restrnt,444 Lenox Av,694-9843,40.812367,-73.941621
1990,white,Mc Donalds Restrnt,113 Nassau,285-9192,40.710894,-74.007377
1990,white,Mcdonald’s Renstrnt,102 1 Av,475-9538,40.726453,-73.985845
1990,white,Mc Donalds Restaurant,1327 2 Av,650-0049,40.767359,-73.959756
1990,white,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.777727,-73.954377
1990,white,Mc Donald’s Restrnt,1499 3 Av,734-3158,40.777727,-73.954377
1990,white,Mc Donald’s Restrnt,2142 3 Av,831-3468,40.798667,-73.939916
1990,white,McDonald’s Restrnt,543 6 Av,989-4043,40.737916,-73.996851
1990,white,Mc Donalds Restaurant,809 6 Av,243-??65,40.746047,-73.990929
1990,white,McDonald’s Restrnt,556 7 Av,869-1918,40.75473,-73.988316
1990,white,Mcdonalds Restrnt,335 8 Av,243-9594,40.74771,-73.99742
1990,white,McDonald’s Restrnt,946 8 Av,586-6676,40.765816,-73.983127
1990,white,McDonald’s Restrnt,427 10 Av,564-7115,40.754529,-74.000106
1990,white,MCDONALD’S RESTRNT,336 E 23,674-9027,40.736964,-73.979443
1990,white,McDonald’s Restrnt,22 E 42,599-2127,40.752656,-73.980103
1990,white,McDonald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1990,white,McDonald’s Restrt ,341 5 Av,686-5342,40.747959,-73.984506
1990,white,Mc Donald’s 21st Century Training Center,336 E 23,475-5111,40.736964,-73.979443
1990,white,McDonald’s ,3549 Bway,283-9584,40.826848,-73.950671
1990,white,MCDONALD’S,4036 Bway,923-9582,40.84194,-73.938811
1990,white,McDonald’s,4259 Bway,923-9506,40.850096,-73.93624
1990,white,McDonalds,444 Lenox Av,862-8480,40.812367,-73.941621
1990,white,MCDONALD’S,39 Union Sq W,645-9079,40.737061,-73.990742
